rawod,lab,standard_conc,dil_level,dilution,neat_mass_mg
0.0561,blank,,,,
0.053,blank,,,,
0.0568,nsb,,,,
0.0496,nsb,,,,
0.6619,b0,,,,
0.6485,b0,,,,
0.1382,std1,3200,,,
0.1569,std1,3200,,,
0.2348,std2,1600,,,
0.2229,std2,1600,,,
0.3209,std3,800,,,
0.3194,std3,800,,,
0.3863,std4,400,,,
0.4039,std4,400,,,
0.4887,std5,200,,,
0.4621,std5,200,,,
0.5653,std6,100,,,
0.5354,std6,100,,,
0.5913,std7,50,,,
0.6791,std7,50,,,
0.3155,be1-2,,superlow,0.0625,99.5
0.2971,be1-2,,sueprlow,0.0625,99.5
0.3288,mn1-2,,superlow,0.0625,100.9
0.3351,mn1-2,,superlow,0.0625,100.9
0.3591,Mn1-14,,superlow,0.0625,100.6
0.3267,Mn1-14,,superlow,0.0625,100.6
0.1885,ts1,,high,1,
0.1817,ts1,,high,1,
0.2429,ts2,,high,1,
0.2494,ts2,,high,1,
0.3428,ts3,,high,1,
0.344,ts3,,high,1,
